Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Dallinga Thijs,A,14,21.0,4.88,3.0,4.88,12,1,12,1.23,0.0,1.23,2,0,2,0.92,1.0,0.92,798,72,798,66.5,72.0,66.5,399.0,399.0,6.5,7.0,3.0,0.0,4.5,4.0,5.0,6.0,4.5,4.0,4.0,4.0,7.0,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,1.0,1.0,7.0,0.708,257.0,1.0,3.0,43.66,16.0,,,0.0,Toulouse,Monaco,2022-11-06,50.0,0.40192,0.42868,0.42487,
El Idrissy Mounaïm,A,8,10.0,4.75,4.5,4.86,12,8,35,1.12,1.16,0.97,2,1,5,0.83,0.75,0.69,895,581,2049,74.58,72.63,58.54,448.0,410.0,6.0,4.0,4.0,3.0,7.0,4.0,4.5,5.0,4.5,4.0,0.0,4.0,6.0,5.0,6.0,5.0,4.5,0.0,0.0,0.0,4.5,5.0,6.5,4.5,4.0,5.0,4.5,5.0,6.5,4.5,4.5,4.0,4.5,4.0,5.0,0.0,0.0,4.5,7.0,3.5,1.5,,,,,,4.0,0.7418,363.0,1.0,11.0,41.11,25.0,,,0.0,Ajaccio,Strasbourg,2022-11-05,0.02,0.34564,0.34673,0.34982,
Dembele Moussa,A,19,28.0,4.7,4.38,5.22,10,4,34,0.86,0.75,1.34,2,0,19,0.5,1.0,0.74,506,288,2250,50.6,72.0,66.18,253.0,118.0,5.5,9.5,5.0,5.0,3.5,4.0,0.0,4.0,4.0,6.0,4.5,6.0,0.0,5.0,0.0,7.0,6.0,7.0,7.0,7.0,5.5,8.0,4.0,7.0,4.0,6.0,7.5,3.5,0.0,6.0,4.0,5.5,5.5,4.0,3.0,4.5,5.0,3.5,4.0,6.0,2.0,,,,,,4.0,0.7836,182.0,,4.0,37.5,11.0,,,6.5,Lyon,Marseille,2022-11-06,50.0,0.67322,0.6338,0.61818,
Kyei Grejohn,A,10,11.0,4.63,4.63,4.44,12,12,26,0.96,0.96,0.75,2,2,2,0.33,0.33,0.31,436,436,827,36.33,36.33,31.81,218.0,414.0,6.0,5.0,4.0,4.0,4.0,7.0,6.0,4.5,4.5,5.0,4.0,4.0,4.5,4.0,0.0,0.0,4.5,4.0,4.5,3.5,4.5,5.5,4.5,4.0,4.5,4.0,3.5,0.0,4.5,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,1.0,1.0,1.0,3.0,0.7194,189.0,1.0,,27.85,15.0,,,4.0,Clermont,Montpellier,2022-11-06,50.0,0.32168,0.35121,0.3711,
Cozza Nicolas,DC,14,15.0,4.62,4.62,4.57,13,13,38,1.16,1.16,1.01,2,2,3,0.92,0.92,0.95,1056,1056,3105,81.23,81.23,81.71,528.0,1035.0,5.0,7.0,3.0,4.0,5.0,4.5,5.0,4.5,4.5,3.0,6.0,6.5,5.0,3.0,6.0,4.5,4.5,4.0,5.0,2.0,0.0,5.0,4.5,0.0,3.5,5.0,4.0,3.5,5.0,5.0,4.0,6.0,4.0,0.0,6.5,5.5,5.0,5.5,4.5,5.0,1.0,,,,1.0,1.0,6.0,0.703,672.0,17.0,20.0,63.79,5.0,,,4.5,Montpellier,Clermont,2022-11-06,50.0,0.40695,0.42636,0.40512,Sursis (9sem.)
Koné Ibrahima,A,12,15.0,4.62,4.62,4.73,13,13,28,0.55,0.55,1.1,2,2,6,0.15,0.15,0.29,289,289,999,22.23,22.23,35.68,145.0,167.0,5.5,6.0,4.5,4.5,4.5,4.0,4.0,4.5,6.0,4.5,4.5,4.5,5.5,4.5,4.5,5.0,4.0,4.0,5.0,2.5,6.0,4.0,8.0,3.0,4.5,6.5,5.0,6.5,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,,,,,1.0,0.6941,110.0,1.0,,51.79,6.0,,,3.0,Lorient,Paris,2022-11-06,50.0,0.47207,0.45952,0.434,Sursis (2sem.)
Niang M'Baye,A,10,10.0,3.94,4.19,4.4,9,8,31,1.4,1.28,1.09,2,2,5,0.67,0.75,0.42,503,497,1272,55.89,62.13,41.03,252.0,254.0,5.5,5.0,2.5,6.0,4.5,3.5,5.5,4.5,2.5,4.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.5,4.0,6.0,4.5,4.0,7.0,0.0,4.5,5.0,4.0,4.0,0.0,5.0,4.0,0.0,4.5,4.5,4.5,4.5,5.0,4.0,5.0,4.5,,1.0,,,,,1.0,0.6911,202.0,,2.0,47.0,15.0,,,0.0,Auxerre,Troyes,2022-11-04,26.749999999999996,0.31924,0.31885,0.3208,Suspendu
Palaversa Ante,MD,1,1.0,7.0,7.0,7.0,1,1,1,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,9,9,9,9.0,9.0,9.0,9.0,9.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,11.0,1.0,1.0,100.0,,,,0.0,Troyes,Auxerre,2022-11-04,0.22,0.42392,0.43272,0.42649,
Ounas Adam,MO,14,18.0,6.0,6.0,5.43,8,8,20,0.65,0.65,0.67,1,1,1,0.75,0.75,0.35,541,541,770,67.63,67.63,38.5,541.0,770.0,7.0,14.0,5.0,6.5,6.5,5.5,6.0,7.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.5,5.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.5,5.0,0.0,0.0,2.0,,,,1.0,3.0,10.0,0.7812,385.0,3.0,3.0,46.39,10.0,,,0.0,Lille,Rennes,2022-11-06,50.0,0.62169,0.61256,0.64176,
Boadu Myron,A,3,4.0,6.0,0.0,4.62,1,0,25,0.0,0.0,0.89,1,0,5,0.0,0.0,0.16,17,0,696,17.0,0.0,27.84,17.0,139.0,6.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,5.0,4.5,6.0,4.0,6.0,4.0,6.0,4.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,4.0,3.5,7.0,4.0,4.0,,,,,,,,0.3333,6.0,,,,1.0,,,0.0,Monaco,Toulouse,2022-11-06,50.0,0.63774,0.65261,0.64803,
